ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:11:53.062546967,C62gsd4JmF8nLYv8jh,192.168.28.11,54209,255.255.255.255,8610,udp,,0 days 00:00:00.000061,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:12:37.402839899,CIiXVoRPGjqFOqSkg,fe80::104e:5fb6:9e41:e663,5353,ff02::fb,5353,udp,dns,0 days 00:00:06.963541,748,0,S0,T,F,0,D,4,940,0,0,
2024-12-16 10:12:37.402764082,C72cPs4Rpr0WwRCGl1,192.168.28.38,5353,224.0.0.251,5353,udp,dns,0 days 00:00:06.963563,748,0,S0,T,F,0,D,4,860,0,0,
2024-12-16 10:12:31.566775084,CtJ9xOxuOUDaWk29b,192.168.28.209,5353,224.0.0.251,5353,udp,dns,0 days 00:00:19.455884,743,0,S0,T,F,0,D,5,883,0,0,
2024-12-16 10:12:31.566849947,C4pu4SnvcjNWR9Zj3,fe80::146a:3d52:55b3:87e8,5353,ff02::fb,5353,udp,dns,0 days 00:00:19.455866,743,0,S0,T,F,0,D,5,983,0,0,
2024-12-16 10:12:52.250497103,Cv7dUOk2khzLnJq5i,fe80::7990:6a83:9029:d658,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,165,0,0,
2024-12-16 10:12:24.808595896,CjmV2X2L9pTlqrqtQ5,192.168.28.11,53472,255.255.255.255,8610,udp,,0 days 00:00:00.000043,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:12:28.083702087,CPLWKD2k0JKCxtagn4,192.168.28.208,53338,255.255.255.255,8610,udp,,0 days 00:00:00.000054,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:13:21.643349886,CDnIPc4SvxNHSihNxd,192.168.28.19,5353,224.0.0.251,5353,udp,dns,0 days 00:00:00.921877,267,0,S0,T,F,0,D,2,323,0,0,
2024-12-16 10:13:21.643425941,CN1iNr1iYn78halwyh,fe80::14e0:28f4:e657:fbf3,5353,ff02::fb,5353,udp,dns,0 days 00:00:00.921836,267,0,S0,T,F,0,D,2,363,0,0,
2024-12-16 10:13:30.549778938,CUpkyV3i8WcvNa59eg,192.168.28.25,5353,224.0.0.251,5353,udp,dns,0 days 00:00:01.027052,297,0,S0,T,F,0,D,2,353,0,0,
2024-12-16 10:13:30.549855947,CupTJ5LC5Rgdelwyf,fe80::10c1:6dde:581e:e273,5353,ff02::fb,5353,udp,dns,0 days 00:00:01.027021,297,0,S0,T,F,0,D,2,393,0,0,
